question_i,question_j,winner,style
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Which US No 1 single came from Diana Ross's platinum album Diana?,1,evidential_1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What was Eddie Murphy's first movie?,1,evidential_1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What is the only novel to top the best-seller lists for two consecutive years?,1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,Who had a 70s No 1 hit with Kiss You All Over?,2,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,What is Osbert Lancaster best known for producing?,1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,What was the Paramount Film Company originally called?,1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,Robert Kirkpatrick of California grew the world's biggest what?,1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,How was the European Recovery Program in the 1940s more commonly known?,2,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,Which actress was voted Miss Greenwich Village in 1942?,1,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,What star sign is Jamie Lee Curtis?,2,evidential_1
Who had an 80s No 1 hit with Hold On To The Nights?,"In Greek mythology, what were the names of Oedipus's parents?",2,evidential_1
Who directed the classic 30s western Stagecoach?,Bandar Seri Begawan International airport is in which country?,1,evidential_1
Who directed the classic 30s western Stagecoach?,Dave Gilmore and Roger Waters were in which rock group?,2,evidential_1
Who directed the classic 30s western Stagecoach?,How was the European Recovery Program in the 1940s more commonly known?,1,evidential_1
Who directed the classic 30s western Stagecoach?,Who had a 70s No 1 hit with Let's Do It Again?,1,evidential_1
Who directed the classic 30s western Stagecoach?,Who was the next British Prime Minister after Arthur Balfour?,1,evidential_1
Who directed the classic 30s western Stagecoach?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,evidential_1
Who directed the classic 30s western Stagecoach?,How old was Jimi Hendrix when he died?,1,evidential_1
Who directed the classic 30s western Stagecoach?,What was the profession of Paul Strand (1890 - 1976)?,1,evidential_1
Who directed the classic 30s western Stagecoach?,Who was the director of the CIA from 1976-81?,1,evidential_1
Who directed the classic 30s western Stagecoach?,Who or what was Gentle Ben in the 60s TV series?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,Which actress was voted Miss Greenwich Village in 1942?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,What was Walter Matthau's first movie?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,Robert Kirkpatrick of California grew the world's biggest what?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,Who had a Too Legit To Quit Tour?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,In what state was playwright Tennessee Williams born?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,The flag of Libya is a plain rectangle of which color?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,Brandon Lee died during the making of which movie?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,To the nearest million what is the population of Australia?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,Where in England was actor Nigel Hawthorne born?,1,evidential_1
Dave Gilmore and Roger Waters were in which rock group?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,What star sign is Jamie Lee Curtis?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,In what state was playwright Tennessee Williams born?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,What claimed the life of singer Kathleen Ferrier?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,Which artist David was born in Bradford UK?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,Who is the most successful UK solo artist in the USA?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,evidential_1
Which highway was Revisited in a classic 60s album by Bob Dylan?,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,1,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Dave Gilmore and Roger Waters were in which rock group?,2,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Why is the site of a boxing match called a ring when it's square?,1,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What was President Gerald Ford's middle name?,2,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What is Osbert Lancaster best known for producing?,2,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,2,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,The flag of Libya is a plain rectangle of which color?,2,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who was the only Englishman to become Pope?,2,evidential_1
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who was the director of the CIA from 1976-81?,1,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,What was the profession of Paul Strand (1890 - 1976)?,1,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,If I Were A Rich Man Was a big hit from which stage show?,1,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Robert Kirkpatrick of California grew the world's biggest what?,1,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who was the youngest brother in the Beach Boys?,2,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,2,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which musician founded the Red Hot Peppers?,2,evidential_1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who had an 80s No 1 hit with Hold On To The Nights?,2,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,Dave Gilmore and Roger Waters were in which rock group?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,In what state was playwright Tennessee Williams born?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,What is Mel Gibson's middle name?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,Art Garfunkel trained for which profession although he didn't qualify?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,Richard Daley was mayor of which city for 21 years?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,Who recorded the When Harry Met Sally soundtrack?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,What was Walter Matthau's first movie?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,What is the Japanese share index called?,1,evidential_1
If I Were A Rich Man Was a big hit from which stage show?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,What is the only novel to top the best-seller lists for two consecutive years?,1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,What was the profession of Paul Strand (1890 - 1976)?,2,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,-1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",2,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,What is Osbert Lancaster best known for producing?,1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,In which decade did stereo records first go on sale?,1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Who directed the classic 30s western Stagecoach?,1,evidential_1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"In Greek mythology, what were the names of Oedipus's parents?",1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,What is the name of Terence and Shirley Conran's dress designer son?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,Who had a Too Legit To Quit Tour?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,Who was the first US-born winner of golf's British Open?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,Which musician founded the Red Hot Peppers?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,What was Walter Matthau's first movie?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,If I Were A Rich Man Was a big hit from which stage show?,1,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,What was the profession of Paul Strand (1890 - 1976)?,2,evidential_1
What is the only novel to top the best-seller lists for two consecutive years?,Which artist David was born in Bradford UK?,1,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Which actress was voted Miss Greenwich Village in 1942?,1,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Who had an 80s No 1 hit with Hold On To The Nights?,2,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?","""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",2,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What was the Paramount Film Company originally called?,1,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Where was horse racing's Breeder's Cup held in 1987?,2,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Rita Coolidge sang the title song for which Bond film?,-1,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,2,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Who was the defending champion when Martina Navratilova first won Wimbledon singles?,-1,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Who was the first US-born winner of golf's British Open?,2,evidential_1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",In what state was playwright Tennessee Williams born?,2,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","In Greek mythology, what were the names of Oedipus's parents?",1,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",2,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Where was horse racing's Breeder's Cup held in 1987?,1,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Who was the first person after Scott to reach the South Pole overland?,1,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",In which country is the Sky Train Rail bridge?,1,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",What was the profession of Paul Strand (1890 - 1976)?,1,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Why is the site of a boxing match called a ring when it's square?,1,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","In Greek mythology, who were Arges, Brontes and Steropes?",2,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Where in Canada is the Lion's Gate bridge?,2,evidential_1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Which volcano in Tanzania is the highest mountain in Africa?,1,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,Which US No 1 single came from Diana Ross's platinum album Diana?,2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,Where in England was actor Nigel Hawthorne born?,2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,In the 80s who wrote the novel Empire of The Sun?,1,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,"In Greek mythology, who were Arges, Brontes and Steropes?",2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,Art Garfunkel trained for which profession although he didn't qualify?,-1,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,Which actress was voted Miss Greenwich Village in 1942?,2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,Which musician founded the Red Hot Peppers?,2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,Where in Canada is the Lion's Gate bridge?,2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,"In the Bible, who did the sun and moon stand still before?",2,evidential_1
What was Truman Capote's last name before he was adopted by his stepfather?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Who is the most successful UK solo artist in the USA?,1,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,In which country is the Sky Train Rail bridge?,1,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,"In the Bible, who saw the handwriting on the wall?",2,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Which drink did The Spice Girls promote?,1,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,2,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,What claimed the life of singer Kathleen Ferrier?,2,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Who was the first US-born winner of golf's British Open?,1,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Who was the only Englishman to become Pope?,1,evidential_1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Otis Barton was a pioneer in exploring where?,1,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Which country does the airline TAAG come from?,2,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Who was the first US-born winner of golf's British Open?,2,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",What was President Gerald Ford's middle name?,-1,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",What was the last US state to reintroduce alcohol after prohibition?,1,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",What was Truman Capote's last name before he was adopted by his stepfather?,1,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?","In the Bible, who did the sun and moon stand still before?",2,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Which 70s show was based on the British show Till Death Us Do Part?,1,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Brandon Lee died during the making of which movie?,2,evidential_1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Where in England was actor Nigel Hawthorne born?,1,evidential_1
In what state was playwright Tennessee Williams born?,Who was the only Englishman to become Pope?,1,evidential_1
In what state was playwright Tennessee Williams born?,"""In which movie did Garbo say, """"I want to be alone"""".""",1,evidential_1
In what state was playwright Tennessee Williams born?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,1,evidential_1
In what state was playwright Tennessee Williams born?,What is Mel Gibson's middle name?,1,evidential_1
In what state was playwright Tennessee Williams born?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,2,evidential_1
In what state was playwright Tennessee Williams born?,Why is the site of a boxing match called a ring when it's square?,1,evidential_1
In what state was playwright Tennessee Williams born?,What is the name of Terence and Shirley Conran's dress designer son?,2,evidential_1
In what state was playwright Tennessee Williams born?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,evidential_1
In what state was playwright Tennessee Williams born?,How was the European Recovery Program in the 1940s more commonly known?,2,evidential_1
In what state was playwright Tennessee Williams born?,"In Greek mythology, who were Arges, Brontes and Steropes?",2,evidential_1
Who was the only Englishman to become Pope?,Which US No 1 single came from Diana Ross's platinum album Diana?,2,evidential_1
Who was the only Englishman to become Pope?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,evidential_1
Who was the only Englishman to become Pope?,"""In which movie did Garbo say, """"I want to be alone"""".""",1,evidential_1
Who was the only Englishman to become Pope?,Where did the Shinning Path terrorists operate?,1,evidential_1
Who was the only Englishman to become Pope?,Which country does the airline TAAG come from?,1,evidential_1
Who was the only Englishman to become Pope?,"In the Bible, who did the sun and moon stand still before?",1,evidential_1
Who was the only Englishman to become Pope?,Who was the youngest brother in the Beach Boys?,2,evidential_1
Who was the only Englishman to become Pope?,In which sport could the Pacers take on the Pistons?,2,evidential_1
Who was the only Englishman to become Pope?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,evidential_1
Who was the only Englishman to become Pope?,What was Walter Matthau's first movie?,2,evidential_1
"In the Bible, who did the sun and moon stand still before?",Which was the only eastern bloc country to participate in the 1984 LA Olympics?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",In which sport could the Pacers take on the Pistons?,2,evidential_1
"In the Bible, who did the sun and moon stand still before?",Who was the only Englishman to become Pope?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",Who had a 70s No 1 hit with Kiss You All Over?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",How old was Jimi Hendrix when he died?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",What was Truman Capote's last name before he was adopted by his stepfather?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",To the nearest million what is the population of Australia?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",What was the name of Michael Jackson's autobiography written in 1988?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",Who was the youngest brother in the Beach Boys?,1,evidential_1
"In the Bible, who did the sun and moon stand still before?",Which musician founded the Red Hot Peppers?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Who had a 70s No 1 hit with Let's Do It Again?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Who is the most successful UK solo artist in the USA?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Bandar Seri Begawan International airport is in which country?,2,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Otis Barton was a pioneer in exploring where?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Art Garfunkel trained for which profession although he didn't qualify?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,What is the Japanese share index called?,2,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,In which country is the Sky Train Rail bridge?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,What is the only novel to top the best-seller lists for two consecutive years?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,What was the name of Michael Jackson's autobiography written in 1988?,1,evidential_1
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,evidential_1
"In the Bible, who saw the handwriting on the wall?",Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,1,evidential_1
"In the Bible, who saw the handwriting on the wall?",Who had a Too Legit To Quit Tour?,1,evidential_1
"In the Bible, who saw the handwriting on the wall?",Art Garfunkel trained for which profession although he didn't qualify?,1,evidential_1
"In the Bible, who saw the handwriting on the wall?",What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,evidential_1
"In the Bible, who saw the handwriting on the wall?",Which was the only eastern bloc country to participate in the 1984 LA Olympics?,1,evidential_1
"In the Bible, who saw the handwriting on the wall?",Where in Canada is the Lion's Gate bridge?,1,evidential_1
"In the Bible, who saw the handwriting on the wall?","In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",2,evidential_1
"In the Bible, who saw the handwriting on the wall?",Who or what was Gentle Ben in the 60s TV series?,2,evidential_1
"In the Bible, who saw the handwriting on the wall?","In the Bible, who did the sun and moon stand still before?",1,evidential_1
"In the Bible, who saw the handwriting on the wall?",Which country does the airline TAAG come from?,2,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"In the Bible, who saw the handwriting on the wall?",1,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,Where in England was actor Nigel Hawthorne born?,2,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,What was Eddie Murphy's first movie?,2,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",2,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,Robert Kirkpatrick of California grew the world's biggest what?,2,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,Which 70s show was based on the British show Till Death Us Do Part?,1,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,evidential_1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,Who is the most successful UK solo artist in the USA?,2,evidential_1
What was President Gerald Ford's middle name?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,evidential_1
What was President Gerald Ford's middle name?,If I Were A Rich Man Was a big hit from which stage show?,1,evidential_1
What was President Gerald Ford's middle name?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,evidential_1
What was President Gerald Ford's middle name?,Who was the youngest brother in the Beach Boys?,1,evidential_1
What was President Gerald Ford's middle name?,"In Greek mythology, who were Arges, Brontes and Steropes?",2,evidential_1
What was President Gerald Ford's middle name?,Where was horse racing's Breeder's Cup held in 1987?,2,evidential_1
What was President Gerald Ford's middle name?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,evidential_1
What was President Gerald Ford's middle name?,In which sport could the Pacers take on the Pistons?,2,evidential_1
What was President Gerald Ford's middle name?,River Phoenix died during the making of which movie?,1,evidential_1
What was President Gerald Ford's middle name?,What is the Japanese share index called?,2,evidential_1
Who recorded the When Harry Met Sally soundtrack?,Robert Kirkpatrick of California grew the world's biggest what?,1,evidential_1
Who recorded the When Harry Met Sally soundtrack?,Who was the first person after Scott to reach the South Pole overland?,1,evidential_1
Who recorded the When Harry Met Sally soundtrack?,Which country does the airline TAAG come from?,1,evidential_1
Who recorded the When Harry Met Sally soundtrack?,What is the name of Terence and Shirley Conran's dress designer son?,1,evidential_1
Who recorded the When Harry Met Sally soundtrack?,How old was Jimi Hendrix when he died?,2,evidential_1
Who recorded the When Harry Met Sally soundtrack?,In which decade did stereo records first go on sale?,2,evidential_1
Who recorded the When Harry Met Sally soundtrack?,River Phoenix died during the making of which movie?,2,evidential_1
Who recorded the When Harry Met Sally soundtrack?,The flag of Libya is a plain rectangle of which color?,1,evidential_1
Who recorded the When Harry Met Sally soundtrack?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,1,evidential_1
Who recorded the When Harry Met Sally soundtrack?,Richard Daley was mayor of which city for 21 years?,1,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,How was the European Recovery Program in the 1940s more commonly known?,1,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,1,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,In which country is the Sky Train Rail bridge?,1,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,To the nearest million what is the population of Australia?,2,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,Which musician founded the Red Hot Peppers?,2,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",2,evidential_1
Art Garfunkel trained for which profession although he didn't qualify?,Which musical featured the song The Street Where You Live?,1,evidential_1
Who was the last inmate of Spandau jail in Berlin?,Who first hosted Family Feud?,1,evidential_1
Who was the last inmate of Spandau jail in Berlin?,Which volcano in Tanzania is the highest mountain in Africa?,2,evidential_1
Who was the last inmate of Spandau jail in Berlin?,Of which African country is Niamey the capital?,2,evidential_1
Who was the last inmate of Spandau jail in Berlin?,"In Greek mythology, what were the names of Oedipus's parents?",1,evidential_1
Who was the last inmate of Spandau jail in Berlin?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,evidential_1
Who was the last inmate of Spandau jail in Berlin?,In which country is the Sky Train Rail bridge?,1,evidential_1
Who was the last inmate of Spandau jail in Berlin?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,evidential_1
Who was the last inmate of Spandau jail in Berlin?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,-1,evidential_1
