question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
What was the name of the brothel in The Best Little Whorehouse in Texas?,The Chicken Ranch.,Rose's Ranch House,Texas Rose,Lulu's Lounge,Texas Rose,Bluebonnet House,None specified directly.,Afternoon Delight,no,no,no,no,no,no,no
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole.,Peter O'Toole,Keenan Wynn,Charlton Heston,Charlton Heston,Charlton Heston,Charlton Heston,Charlton Heston,yes,no,no,no,no,no,no
What relation is Joey Richardson to Vanessa Redgrave?,"Joely Richardson, Vanessa's daughter.",Son,nephew,uncle,uncle,uncle,No relation,nephew,no,no,no,no,no,no,no
Melanie Molitor is the mom of which tennis world NO 1?,Martina Hingis.,Jelena Ostapenko,Simona Halep,Simona Halep,Simona Halep,Simona Halep,Simona Halep,Simona Halep,no,no,no,no,no,no,no
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium.,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,yes,yes,yes,yes,yes,yes,yes
On which date in 1945 did Hitler take cyanide then shoot himself?,"April 30, 1945.",30 April,"April 30, 1945","April 30, 1945",April 30,30 April,"April 30, 1945",30 April 1945,yes,yes,yes,yes,yes,yes,yes
How old would Elvis Presley have been had he lived to the end of the 20th century?,"65 years old by December 31, 1999.",59,59,59,59,59,59,59,no,no,no,no,no,no,no
In which river is the Boulder Dam?,Colorado River.,Colorado River,Colorado River,Colorado River,Colorado River,Colorado River,Colorado River,"After verification, it is in the Colorado River.",yes,yes,yes,yes,yes,yes,yes
"Which sports event was first held at Worcester, Massachusetts in 1927?",The U.S. Figure Skating Championships.,Pawtucket Baseball Tournament,Bass Fishing Tournament,Worcester Classic,Bakery and Bread Festival,Thanksgiving Day football game,Bass Fishing Tournament,Bass Fishing Tournament,no,no,no,no,no,no,no
In which European city is the Belvederen Gallery?,Vienna.,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,yes,yes,yes,yes,yes,yes,yes
How old was Woody Herman when he founded his own orchestra?,Woody Herman was 23 years old.,21,23,21,21,23,23,23,no,yes,no,no,yes,yes,yes
For which movie did Katharine Hepburn win her second Oscar?,"""Guess Who's Coming to Dinner""",Guess Who's Coming to Dinner,Guess Which One,Guess Which One,Guessing Sisters,"Guessing it's "" Guess Who's Coming to Dinner""",Guessing Sisters,"For Which Movie Did Katharine Hepburn Win Her Second Oscar? 

A",yes,yes,yes,no,yes,no,yes
Who had a 60s No 1 hit with This Diamond Ring?,Gary Lewis and the Playboys.,Lulu,Lulu,Lulu,Lulu,Lulu,Lulu,Lulu,no,no,no,no,no,no,no
The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,Sweden.,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,yes,yes,yes,yes,yes,yes,yes
In which country was the first permanent bungee jumping site situated?,New Zealand.,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,yes,yes,yes,yes,yes,yes,yes
Who succeeded Brezhnev as Soviet premier?,Yuri Andropov succeeded Brezhnev.,Andropov,Andropov,Andropov,Andropov,Andropov,Andropov,Andropov,yes,yes,yes,yes,yes,yes,yes
In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,Collapsible baby stroller.,Baby carrier,Baby wipe,Baby carrier,Baby monitor,Baby monitor,Baby carrier,Baby carrier,no,no,no,no,no,no,no
In which city's shipyard was Solidarity set up?,"Gdansk, Poland.",Gdansk,Gdansk,Gdansk,Gdansk,Gdansk,Gdansk,Gdansk,yes,yes,yes,yes,yes,yes,yes
What was the first spacecraft to land on another planet?,Soviet Union's Venera 7 on Venus in 1970.,Venera 7,Venera 7,Venera 7,Viking 1lander,Venera 7,Viking 1lander,Viking 1lander,yes,yes,yes,no,yes,no,no
Which female singer was born on exactly the same day as impressionist Rich Little?,"Tina Turner, born November 26, 1939.",Barbara Streisand,Barbara Streisand,Barbara Streisand,Barbara Streisand,Barbara Streisand,Barbara Streisand,Barbara Streisand,no,no,no,no,no,no,no
What is Harrison Ford's real name?,William Henry Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,yes,yes,yes,yes,yes,yes,yes
Who's home runs record did Mark McGwire break in the 1998 season?,Roger Maris' single-season record.,Mark_radcliffe,Sammy Sosa,Sammy Sosa,Sammy Sosa,Sammy Sosa,Mark McGwire broke Roger Maris's record of 61 home runs,Roger Maris,no,no,no,no,no,yes,yes
What were Joe DiMaggio's two baseball-playing brothers called?,Vince and Dom DiMaggio.,"Mike, Frank",Vito and Michael,Pepper and Dominic.,Peppi and Frank,Pepper and Dominic,Pepper and Dominic,Tom and Mike,no,no,yes,no,yes,yes,no
Who won baseball's first World Series of the 80s?,Philadelphia Phillies.,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,Cardinals,no,no,no,no,no,no,no
What was Pete Sampras seeded when he won his first US Open?,Pete Sampras was 12th seed.,1,1,1,8,3,10,1,no,no,no,no,no,no,no
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Muhammad Ali.,Muhammad Ali,Muhammad Ali,Muhammad Ali,Muhammad Ali,Muhammad Ali,Muhammad Ali,Muhammad Ali,yes,yes,yes,yes,yes,yes,yes
Where did Jonathan Edwards set his 1995 triple jump world record?,"Gothenburg, Sweden.","Hengelo, Netherlands","Helsinki, Finland","Pittsburgh, USA","Pittsburgh, USA","Pentathlon Meeting in Athens, Greece","Pittsfield, Massachusetts","Hengelo, Netherlands",no,no,no,no,no,no,no
"In baseball, where do the Orioles come from?","Baltimore, Maryland.","Baltimore, Maryland","Baltimore, Maryland","Baltimore, Maryland","Baltimore, Maryland","Baltimore, Maryland","Baltimore, Maryland, USA.","Baltimore, Maryland",yes,yes,yes,yes,yes,yes,yes
The Naismith Award is presented in which sport?,Basketball.,Basketball,Basketball,Basketball,Basketball,Basketball,Basketball,Basketball,yes,yes,yes,yes,yes,yes,yes
Which cartoon and film character is the nickname of super athlete Michael Johnson?,The Fastest Man.,The Sprinter,Thunderbolt,The Flying Eagle,Bolt,Bolt,Flash,Bolt,yes,yes,no,yes,yes,yes,yes
For which team did Babe Ruth blast his last Major League home run?,Boston Braves.,Boston Braves,Boston Braves,Boston Braves,Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,yes,yes,yes,no,no,no,no
How old would Bobby Kennedy have been had he lived to the end of the 20th century?,73 years old.,56,56,56,56,56,56,56,no,no,no,no,no,no,no
What was Warren Beatty's first movie?,Splendor in the Grass (1961).,Splendor in the Grass,Splendor in the Grass,Splendor in the Grass,Splendor in the Grass,Splendor in the Grass,Splendor in the Grass,Splendor in the Grass,yes,yes,yes,yes,yes,yes,yes
Where does Roseanne have a tattoo of a pink rose?,On her chest and buttocks.,abdomen,Midriff,chest.,Back.,Abdomen,abdomen.,Abdomen,no,no,yes,no,no,no,no
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Debra Winger as Wonder Girl.,Kerry Washington,Kerry Washington,Kerry Washington,Kerry Washington,Anna Gunn,Kerry Washington,Kerry Washington,no,no,no,no,no,no,no
Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,Mickey Dolenz in The Monkees.,Bravo in Bucks Fizz,"McCartney, Beatles","McCartney, Beatles","Braddick, Brotherhood of Man","Braddick, Swing Out Sister","Braddock, The Shadows","Braddock, The Shadows",no,no,no,no,no,no,no
Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,"Jack Webb, a US Navy veteran.",Alex Roe,Alex Karras,Alex Roe,Alex Karras,Alex Karras,Alex Karras,Alex Roe,no,no,no,no,no,no,no
What US sitcom was the first exported to Britain?,"I Love Lucy, in 1955.",I Love Lucy,I Love Lucy,Fawlty Towers,Frasier,Fawlty Towers,F Troop,I Love Lucy,yes,yes,no,no,no,no,yes
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin.,Spencer Lockhart,Charles Adler,Voiced by Frank Welker.,Charles McCrane,Voiced by Frank Welker.,Frank Welker,Spencer Lockhart,no,no,no,no,no,no,no
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,"Leslie Nielsen's love interest, Joan Spencer.",Jane Austen,Lorna Luft,Janet.,Lorna Luft,Janet.,Valerie Gray,Valerie Gray,no,no,no,no,no,no,no
In 1990 who faced banners saying Goodbye Pineapple Face?,George H.W. Bush in Japan.,David Bowie,Michael Jackson,Michael Jackson,Michael Jackson,Michael Jackson,Michael Jackson,Michael Jordan,no,no,no,no,no,no,no
How much did Clint Eastwood receive per month for his duties as Mayor of Carmel?,One dollar per month.,"$12,000",$1,$1,$1,$1,$1 per month.,$1 per month,no,yes,yes,yes,yes,yes,yes
Which US president won the Nobel Peace Prize in 1920?,Woodrow Wilson received it.,Woodrow Wilson,Woodrow Wilson,Woodrow Wilson,Woodrow Wilson,Woodrow Wilson,Woodrow Wilson,Woodrow Wilson,yes,yes,yes,yes,yes,yes,yes
Who beat Tim Henman in his first Wimbledon singles semifinal?,Sampras beat Henman in 1998.,Andre Agassi,Lleyton Hewitt,Roger Federer,Pete Sampras,Pete Sampras,Marat Safin,Marat Safin,no,no,no,no,no,no,no
What relation was Flo Jo to Jackie Joyner Kersee?,Rivals and Olympic track teammates.,No relation.,No relation,No relation.,No relation,No relation,No relation.,No relation,no,no,no,no,no,no,no
How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,Four years ban by FINA.,2 years,2 years,2 years,2 years,2 years,2 years,2 years,no,no,no,no,no,no,no
Yuan Yuan was caught carrying drugs for which Chinese team?,The Chinese national swimming team.,Sichuan Team,Sichuan Team,Sichuan Team,Sichuan Team,Sichuan Team,No Chinese team.,Yuan Yuan carried drugs for the Chinese national basketball team.,no,no,no,no,no,no,no
Which grand slam did Pete Sampras not win in the 20th century?,French Open.,French Open,French Open,French Open,French Open,French Open,French Open,French Open,yes,yes,yes,yes,yes,yes,yes
In which events did Gert Fredriksson win six Olympic gold medals?,Kayaking: K-1 1000m and K-1 10000m events.,Sailing,Sailing,Sailing,Sailing,Sailing,No information available.,Sailing,no,no,no,no,no,no,no
"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",Three Formula One races won.,3,3,3,3,3,3,3,yes,yes,yes,yes,yes,yes,yes
On the Internet what is Spam?,Unwanted or junk email messages.,Unwanted bulk messages.,Unwanted bulk messages.,Unwanted bulk messages.,Unwanted bulk messages.,Unwanted bulk messages.,Unwanted bulk messages.,Unwanted bulk messages sent via the internet.,yes,yes,yes,yes,yes,yes,yes
In which country did the Internet start?,United States.,United States,United States,United States,United States,United States,United States,United States,yes,yes,yes,yes,yes,yes,yes
In which year was the Juilliard School founded in New York?,1905,1905,1905,1905,1905,1905,1905,1905,yes,yes,yes,yes,yes,yes,yes
Where was horse racing's Breeders' Cup held in 1989?,Gulfstream Park in Florida.,Santa Anita Park,Santa Anita Park,Santa Anita Park,Santa Anita Park,Santa Anita Park,Santa Anita Park,Santa Anita Park,no,no,no,no,no,no,no
"Who wrote My Life and Loves in 1926, originally banned in the US?","Frank Harris wrote ""My Life and Loves"".",Ezra Pound,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,F. Scott Fitzgerald,Federico Fellini,F. Scott Fitzgerald,no,no,no,no,no,no,no
What was Blondie's last UK No 1 of the 80s?,"Call Me, in April 1981",Rapture,No More Heartbreak,"""Call Me""",Heart of Glass,No More Heartbreak,No More Heartbreak,"""Call Me""",no,no,yes,no,no,no,yes
"If it is 3 a.m. in Nevada, what time is it in Montana?","Same time, both in Mountain Time.",3 a.m.,Same time,Same time,Same time,Same time.,Same time,3 a.m.,no,yes,yes,yes,yes,yes,no
"In baseball, where do the Royals come from?",Kansas City.,Kansas City,Kansas City,Kansas City,Kansas City,Kansas City,"Kansas City, Missouri.","Kansas City, Missouri",yes,yes,yes,yes,yes,yes,yes
What is the largest city in Ohio?,Columbus.,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,no,no,no,no,no,no,no
In which decade of the 20th century was Anne Bancroft born?,1930s.,1950s,1950s,1950s,1950s,1950s,1950s,1940s,no,no,no,no,no,no,no
The Suez Canal connects the Mediterranean Sea to which other Sea?,The Red Sea.,Red Sea,Red Sea,Red Sea,Red Sea,Red Sea,Red Sea,Red Sea,yes,yes,yes,yes,yes,yes,yes
Vehicles from which country use the international registration letter E?,Spain.,Germany,Germany,Germany,Germany,Germany,Germany,Germany,no,no,no,no,no,no,no
Which rock star did Cindy Crawford name her first son after?,"Preston, after The Beatles' Preston Lennon, or John's son.",David Bowie,Mick Jagger,Mick Jagger,Mick Jagger,Mick Jagger,David Bowie,Mick Jagger,no,no,no,no,no,no,no
Sun Yat Sen overthrew the emperor in which country establishing a republic after 2000 years of imperial rule?,China.,China,China,China,China,China,China,China,yes,yes,yes,yes,yes,yes,yes
Who designed the dress which made the most at Diana's dress auction?,Victor Edelstein designed the highest-selling dress.,Zandra Rhodes,Givenvero Zonta,Givenvero Zonta,Alexander McQueen,Alexander McQueen,Alexander McQueen,Zandra Rhodes,no,no,no,no,no,no,no
Which Palestinian co-founded al Fatah in 1957?,Yasser Arafat.,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,Yasser Arafat,yes,yes,yes,yes,yes,yes,yes
In which country was Earl Spencer's acrimonious divorce settlement heard?,South Africa.,UK,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,no,no,no,no,no,no,no
"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, born?",Egypt.,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,yes,yes,yes,yes,yes,yes,yes
Aung San Suu Kyi is a controversial leader in which country?,Myanmar.,Myanmar,Myanmar,Myanmar,Myanmar,Burma/Myanmar,Burma/Myanmar,Myanmar,yes,yes,yes,yes,yes,yes,yes
Which of the founders of United Artists had the last name nearest the beginning of the alphabet?,Chaplin,D.W. Griffith,Duckhorn,D.W. Griffith,Dudley,Duckhorn,D.W. Griffith,D.W. Griffith,no,no,no,no,no,no,no
"In La Cage Aux Folles, what was La Cage Aux Folles?",A popular drag nightclub in Saint-Tropez.,A nightclub.,A nightclub.,A nightclub.,A night club.,Restaurant and nightclub.,A nightclub.,A nightclub.,yes,yes,yes,yes,yes,yes,yes
Where was the Fiddler in the musical's title?,On the roof of his village.,In the roof.,In the roof.,In the roof.,In a hat.,Cell,In a hat.,In a fiddler's tomb.,no,no,no,no,no,no,no
South Pacific was set during which war?,World War II.,World War II,World War II,World War II,World War II,World War II,World War II,World War II,yes,yes,yes,yes,yes,yes,yes
What percentage of the earth's surface is covered by Europe?,About 6.8% of the Earth's land area.,6.8%,4%,6.8%,6.8%,6.8%,6.8%,6.8%,yes,no,yes,yes,yes,yes,yes
Which European town gave its name to a Treaty which symbolizes closer economic links between European countries?,Maastricht.,Maastricht,Maastricht,Maastricht,Maastricht,Maastricht,Maastricht,Maastricht,yes,yes,yes,yes,yes,yes,yes
Which home of champagne in France was also where the German High Command surrendered in WWII?,Reims.,Reims,Reims,Reims,Reims,Reims,Reims,Reims,yes,yes,yes,yes,yes,yes,yes
Which was the first European city this century to open an underground railway system?,"London, in 1863.",Barcelona,Barcelona,Stockholm,Stockholm,Stockholm,Barcelona,Barcelona,no,no,no,no,no,no,no
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks drew Mickey in 1928.,Walt Disney created Mickey Mouse in 1928. Jimmie,"Walt Disney, 1928",Walt Disney created Mickey Mouse in 1927. Jimmie,Walt Disney created Mickey Mouse in 1927.配音角色,Walt Disney created Mickey Mouse in 1928. Jimmie,Walt Disney created Mickey Mouse in 1928. Jimmie,Walt Disney created Mickey Mouse in 1927. James B,yes,no,no,no,yes,yes,no
Which actress wrote the novel The Last of the Really Great Whangdoodles?,Julie Andrews.,Tina Fey,Roald Dahl,Roald Dahl,Sandra Boynton,Roald Dahl,No actress wrote this book. It was written by William Joyce.,Julie Andrews,no,no,no,no,no,no,yes
Who was the star of the film based on the record Harper Valley PTA by Jeannie C Riley?,Barbara Eden starred in Harper Valley PTA.,Loretta Lynn,Sissy Spacek,Cybill Shepherd,Mary Carver,Mary Carver,None,Cybill Shepherd,no,no,no,no,no,no,no
What color golf balls are used on the golf course in Antarctica?,There are no golf courses in Antarctica.,White,I am 100% sure it is not applicable.,White,White,White,"Based on the observed evidence I can find, it is ___. No specific",White,no,no,no,no,no,no,no
Throughout the 80s and 90s Phil Collins recorded on which record label?,Atlantic and Virgin Records.,Capitol Records,Capitol/EMI,Capitol/EMI,Capitol/EMI,Capitol/EMI,Capitol Records,Capitol/EMI,no,no,no,no,no,no,no
On which label did Chuck Berry record in the 1950s and 1960s?,Chess Records.,Stax/Volt,Stax Records,Stax Records,Stax/Volt Records,Stax/Volt Records,"Stax Records, Columbia Records","Stax Records, Columbia Records",no,no,no,no,no,no,no
Which museum has the highest-funded art gallery?,"The Louvre in Paris, France.","The Metropolitan Museum of Art, New York City",The Metropolitan Museum of Art,"The Metropolitan Museum of Art, New York.",The Metropolitan Museum of Art,MoMA,The Metropolitan Museum of Art,The Metropolitan Museum of Art,no,no,no,no,no,no,no
