question,ground_truth,answer,ground_truth_present
Which world leader who had his heyday in the early 1980s had his bust carved on a hillside in his country's Benguet province and which was subsequently destroyed in the 2000s?,Ferdinand Marcos of The Philippines,Ferdinand Marcos.,No
"""The No. 617 Squadron of the Royal Air Force which operated with the motto """"After me, the flood"""" is known for its attacks on what type of installations during WWII?""",Dams,Dams and other strategic targets.,Yes
The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,Haitian revolution,Haitian Revolution.,Yes
"A notable event in the annals of crime was the murder of Peter Gusenberg, Frank Gusenberg, Albert Weinshanker, Adam Heyer, John May, Reinhardt Schwimmer, and James Clark in Chicago on what date in 1929?",February 14 (Saint Valentine's Day Massacre),"February 14, 1929, St. Valentine's Day.",No
"Every year on Christmas, Aladdin the Christmas Camel recreates a particular person's 1787 hiring of a camel to entertain his guests at what historic New World site?",Mount Vernon (George Washington),George Washington's Mount Vernon.,No
"During the Cuban missile crisis in 1962, whose secret meeting with the Soviet Ambassador Anatoly Dobrynin on Oct 27 at the Justice Department in Washington DC was key in resolving the stand-off?","Robert Kennedy, who was the US Attorney General at that time",Attorney General Robert Kennedy.,No
Hong Xiuquan was the pivotal figure of what 19th century upheaval in China which ultimately claimed about 20 million lives?,Taiping Rebellion (1850 to 1864),Taiping Rebellion.,No
What battle of the Middle Ages fought on Saint Crispin's Day has been immortalized by a speech that references the day in a Shakespearean history play?,Battle of Agincourt (1415),Agincourt.,No
"DEFCON is an alert system used by the US Armed Forces and has levels from 5 to 1, with Level 1 indicating that war is imminent. When did the highest ever confirmed DEFCON of Level 2 manifest?",During the Cuban Missile Crisis in 1962,During the Cuban Missile Crisis in 1962.,Yes
Which 18th century struggle that ended with the Peace of Utrecht in 1713 was known in America as Queen Anne's War?,War of the Spanish Succession (1701-1714),War of the Spanish Succession.,No
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,Thailand,Thailand.,Yes
The Battle of Kadesh in 1274 BC that took place between the forces of the Egyptian Empire under Ramesses II and the Hittite Empire is best known for the use of what type of vehicles?,Chariots,Chariots.,Yes
"The 1827 Battle of Navarino in which the Ottoman/Egyptian armada was destroyed by a combined British, French and Russian navy is notable for being the last battle to be fought with sailing ships. It is a conflict in the war of independence of which country?",Greece,Greece.,Yes
"After a short war with Norway during the Napoleonic wars of 1814, what country remained uninvolved in any conflict ever since and is now the oldest neutral country in the world?",Sweden,Sweden.,Yes
"The Battle of Asculum took place in 279 BC between the Romans and the Greeks in which the Romans lost 6,000 men, while the Greeks lost 3,500, including many of their officers. Who commanded the 'victorious' Greeks?",King Pyrrhus of Epirus,Pyrrhus of Epirus.,No
"The Battle of the Plains of Abraham in 1759, a pivotal battle in the Seven Years' War fought between the English and the French, is the only major confrontation ever to have taken place in what country?",Canada,Canada.,Yes
Which city of central Spain was renowned throughout the Middle Ages as an important center for the production of swords and other bladed instruments?,Toledo,Toledo.,Yes
"The 1997 transfer of Hong Kong from Great Britain to China is well-known. But in 1999, which country similarly relinquished its claim on Macau also handing it over to China?",Portugal,Portugal.,Yes
"When it was liberated from the UK in 1957, which country became the first sub-Saharan nation to gain independence?",Ghana,Ghana was the first sub-Saharan nation.,Yes
"Shocking! As per the Minutes of the British War Cabinet released in 2006, what did Winston Churchill propose that be done to Hitler if he were caught?",Death by electrocution,Execution by firing squad.,No
"""What 1991 book that ends with Vladek reuniting with Anja after a long separation contains in its epigraph Hitler's quotation """"The Jews are undoubtedly a race, but they are not human.""""?""",Maus by Art Spiegelman,Maus II by Art Spiegelman.,No
The main elements of what beloved series came from the author's boarding school experience of lining up in two perfectly straight lines to go anywhere and from his meeting someone who had their appendix removed?,Madeline by Ludwig Bemelmans,Harry Potter's Hogwarts houses and hospital wing.,No
"Lapine, which is derived from the French word for rabbit, is the language spoken by the characters of what 1972 novel?",Watership Down by Richard Adams,Watership Down.,No
The 19th century invention Paige Compositor sought to replace the typewriter but ended up becoming a failure. Which American author lost nearly all his fortune for its development?,Mark Twain,Mark Twain.,Yes
"In an interview to The Paris Review, which author talking about his acclaimed 1989 book said that he used the role of an English butler as a metaphor for emotional frostiness and reserve?",Kazuo Ishiguro (about The Remains of the Day),"Ishiguro, for 'The Remains of the Day'.",No
What is the name of the vessel in Paul Gallico's 1969 adventure novel that has been adapted as a film four times?,Poseidon,The Poseidon.,Yes
The division of Penguin that deals with science fiction and fantasy books started in 2002 with what fantastical avian name? (hint: Stravinsky),Firebird,"Firebird, after Stravinsky's ballet.",Yes
"In The Shawshank Redemption when the inmates are organizing books for their library, when told that this classic French novel is about prison break, Morgan Freeman suggests it be filed under education. What novel?",The Count of Monte Cristo,Papillon.,No
"In a children's classic by Arthur Ransome published in 1930, what are the names of the ships sailed by the Walker children and the Blackett children?",Swallow and Amazon,Swallow and Amazon.,Yes
What is the subject of the best-known works of writers Theodor Mommsen and Edward Gibbon?,Roman history,Ancient Rome and Roman Empire.,No
"Great short-stories like The Gift of the Magi, The Ransom of Red Chief, and The Cop and the Anthem are from what collection of O. Henry that was a reaction to a statement that only four hundred people mattered in New York?",The Four Million,The Four Million.,Yes
The 1968 children's story Tikki Tikki Tembo by Arlene Mosel is a humorous take on the perils of what?,Long names,Having a very long name.,No
Jim Corbett in whose honor India's first national park was renamed in 1957 is famous for doing what?,"Hunting man-eating animals, mostly big cats",Hunting man-eating tigers and conservation.,No
Not many have heard the Canadian deathrock band 'A Spectre Is Haunting Europe' but the publication from whose first line the band took its name has definitely been heard. What influential 1848 work?,The Communist Manifesto by Karl Marx and Friedrich Engels,The Communist Manifesto.,No
"After the fall of Troy, Aeneas wanders around various places including hell and reaches Italy. Hence whoever wrote about his adventures must be familiar with the realms of hell. What question about companionship in a 14th century classic can be explained thus?",Why did Dante choose Virgil as a guide in The Divine Comedy?,Dante's guide in Inferno.,No
What most-rejected 1974 bestseller describes the 17-day journey of the author (who calls himself Phaedrus) and his son Chris from Minnesota to California?,Zen and the Art of Motorcycle Maintenance by Robert M. Pirsig,"""Zen and the Art of Motorcycle Maintenance"".",No
A trick-performing goat named Djali is the pet of the gypsy girl who is one of the main characters in what 19th century classic?,The Hunchback of Notre-Dame by Victor Hugo,The Hunchback of Notre Dame.,No
Which doomed lady of the literature of realism is married to Charles and has affairs with Rodolphe Boulanger and Léon Dupuis?,Emma Bovary from Madame Bovary by Gustave Flaubert,Emma Bovary from Madame Bovary.,No
What 20th century German novel that traces the spiritual journey of a protagonist contains twelve chapters relating to the Four Noble Truths and the Eight Fold Path of a belief system?,Siddhartha by Herman Hesse,"Siddhartha, by Hermann Hesse.",No
Lord Ruthven is the title character of what 1819 story/novella that created a genre whose legacy continues through the books of Anne Rice and Stephenie Meyer?,The Vampyre by John William Polidori,"""The Vampyre"" by John Polidori.",No
A fictional species of great apes called 'Mangani' are responsible for raising which popular character?,Tarzan,Tarzan.,Yes
Jean Bastien-Thiry's assassination attempt on Charles de Gaulle in 1962 is the main inspiration behind what 1971 all-time great thriller?,The Day of the Jackal by Frederick Forsyth,The Day of the Jackal.,No
"""What book published in 1922 has the following introduction? """"Some Englishmen, of whom Kitchener was chief, believed that a rebellion of Arabs against Turks would enable England, while fighting Germany, simultaneously to defeat Turkey.""""""","""The Seven Pillars of Wisdom by T. E. Lawrence (""""Lawrence of Arabia"""")""",Seven Pillars of Wisdom by T.E. Lawrence.,No
Roland Deschain is the protagonist of what series of seven fantasy books that were written between 1970 and 2004?,The Dark Tower series by Stephen King,The Dark Tower series by Stephen King.,Yes
The first name of which science fiction hero created by Alex Raymond was retitled as 'Speed' in Australia to avoid a negative connotation of the word by which we know him better?,Flash (Gordon),Flash Gordon,No
What protagonist of a series of popular children's books by H. A. Rey and Margret Rey was called 'Zozo' in 1941 to avoid using the name of the King of England for a monkey?,Curious George (the king was George VI),Curious George.,No
The title of which classic 19th century Russian novel comes from the plot where deceased serfs are counted for accounting purposes?,Dead Souls by Nikolai Gogol,Dead Souls.,No
"The Sketch Book of Geoffrey Crayon, Gent. commonly referred to as The Sketch Book is a collection of essays and short stories published in 1819 and 1820. It is best known for containing what two magical American short stories?",The Legend of Sleepy Hollow and Rip Van Winkle by Washington Irving,Rip Van Winkle and The Legend of Sleepy Hollow.,No
"In adventure literature, what lie in an unexplored region of Africa beyond a mountain range called Sheba's breasts and a lush green valley called Kukuanaland?",Mines of King Solomon,King Solomon's Mines.,No
Washington Irving's classic story Rip Van Winkle is set in which geographic region of New York state?,Catskills,The Catskill Mountains.,No
Swedish director Lasse Hallström who directed Chocolat and My Life as a Dog is also known for his contribution in the world of music to whom/what?,ABBA (he directed almost all of ABBA's promotional films),ABBA music videos.,No
"""What popular 1870s music composition is based on a poem of Henri Cazalis that starts with """"Zig, zig, zig, Death in cadence,...""""?""",Danse macabre by French composer Camille Saint-Saëns,Danse Macabre by Camille Saint-Saëns.,No
"In a move that pissed off some people, what objects were shaped like the lips of the Rolling Stones logo at a museum dedicated to them in Germany?",Urinals!,Toilets were shaped like Rolling Stones lips logo.,No
"""The 1902 guitar composition """"Gran Vals"""" by the Spanish composer Francisco Tárrega would have remained obscure but for corporate executive Anssi Vanjoki selecting it for something in 1993. How do millions of people recognize it now?""",Nokia tune,Nokia ringtone.,No
"In December 1971, Frank Zappa and The Mothers of Invention were playing in a concert when the casino venue they were in caught fire due to an over-zealous member of the audience firing a a flare gun into the rattan covered ceiling. This is the true origin story of what rock classic?","""""""Smoke on the Water"""" by Deep Purple""",Smoke on the Water.,No
"After a premiere in 1952, the creator of a certain work said the following words. Name him. They missed the point. There's no such thing as ... What they thought was ..., because they didn't know how to listen, was full of accidental ... You could hear the wind stirring outside during the first ... During the second, raindrops began pattering the roof, and during the third the people themselves made all kinds of interesting ... as they talked or walked out.","""John Cage after the premiere of 4'33""""""",John Cage.,No
Which 1977 musical was inspired by a magazine article about Bay Ridge kids of Brooklyn whose working class lives were said to be so empty that they lived just to dance on the weekend?,Saturday Night Fever,Saturday Night Fever.,Yes
"The title of what well-known piano waltz comes from the composer's specification that it must be played with both hands held sideways, little fingers down, striking the keys with a particular type motion?","""""""Chopsticks""""""","Waltz in D-flat major, ""No. 1"" or ""Waltz Grave"".",No
The lyrics of which song first put to music by Pete Seeger in 1959 and later made famous by The Byrds were taken almost entirely from the Book of Ecclesiastes in the Bible?,"""""""Turn! Turn! Turn! (to Everything There is a Season)""""""","Turn, Turn, Turn.",No
"Which rock concert held on December 6, 1969 was speculated to be a 'Woodstock West' but became infamous after it was marred by considerable violence?",Altamont Free Concert,Altamont Free Concert.,Yes
What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?,"""""""Zadok the Priest""""""",Zadok the Priest.,No
Which 1968 album released by George Harrison is notable for being the first official solo album by one of The Beatles?,Wonderwall Music,The Wonderwall Music by George Harrison.,Yes
"Which 1989 music video of Madonna attracted criticism for showing images like her making love to Saint Martin de Porres, use of Catholic iconography including a scene where she develops stigmata as well as cross burning?","""""""Like a Prayer""""""",Like a Prayer music video.,No
What is the better known name of the English singer Yusuf Islam who converted to Islam in 1977 at the height of his fame?,Cat Stevens,Cat Stevens.,Yes
"""'The Doors' generated a controversy with the single """"Hello, I Love You"""" in 1968 when the press pointed out it's resemblance to the 1965 hit """"All Day and All of the Night"""" of which band?""",The Kinks,The Kinks.,Yes
Jimi Hendrix presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.,Frank Zappa,"Frank Zappa, who named it Moon Unit.",Yes
A pioneering method for calculating a sequence of Bernoulli numbers in the 1840s has what significance for the digital age?,"The method, created by Ada Lovelace for Babbage's Analytical Engine, is widely credited as the world's first computer program.",Enabled modern computing and algorithm development.,No
What short-named body can be called the most geologically active place of the Solar System as the tidal forces of its mother planet cause its solid surface to bulge up by as much as 100 meters?,Io (Jupiter),Io.,No
"Wardenclyffe Tower in Shoreham, New York was designed by which genius who intended to showcase it for demonstrations of wireless power transmission?",Nikola Tesla,Nikola Tesla.,Yes
The longest muscle in the human body which runs down the back portion of the thigh possibly gets its name from which professional's sitting style or how measurements are taken by him?,Tailor (sartorius muscle),"Tailor, from tailors' sitting position.",No
"A steel sphere filled with sodium housed at the University of Maryland seeks to register the flipping of what physical property that is of enormous significance to mariners, among others?",Earth's magnetic field,Magnetic field lines' polarity (magnetic north).,No
"St Thomas's Abbey, Brno in the Czech Republic was the scene of whose path-breaking work from 1856 to 1863?",Gregor Mendel,Gregor Mendel's.,Yes
What is the last name name of the doctor who first described a certain disease in An Essay on the Shaking Palsy written in 1817?,Dr. (James) Parkinson,Parkinson.,No
The Hubble sequence that classifies galaxies is also known for being drawn in what shape?,Tuning fork,A tuning fork shape.,Yes
The bitter 19th century rivalry between paleontologists Edward Drinker Cope and Othniel Charles Marsh during their search for dinosaur fossils is usually described with what 2-words?,Bone Wars,Bone Wars,Yes
Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,Physics,"Physics, compared to stamp collecting.",Yes
Dr. Benjamin Rush gave what expeditionary group mercury laced laxatives which proved to be excellent tracers by which archaeologists have now been able to track their actual route?,Lewis and Clark expedition,Lewis and Clark expedition.,Yes
Can you connect Darwin and his research on Galapagos Islands to the book To Kill a Mockingbird?,"""""""Finch""""""","No direct connection, different contexts and themes.",No
The Miller-Urey experiment conducted in 1953 that simulated the conditions of the early days of Earth aimed to investigate what?,Chemical origins of life,Origin of life on Earth.,No
"In genetics, who is the woman who lived approximately 190,000-200,000 years ago and who was the most recent woman from whom all living humans today descend?",Mitochondrial Eve,Mitochondrial Eve.,Yes
What is the more common name for 'transposons' discovered by Barbara McClintock who investigated the reason for uneven splattering of color in corn kernels?,Jumping genes,Jumping genes.,Yes
What term was popularized by Nobel Prize-winning Paul Crutzen to replace 'Holocene' epoch on the Geological Time Scale as he felt that the influence of humans on Earth is significant?,Anthropocene,Anthropocene.,Yes
"Project Orion, Project Daedalus, Medusa, and Project Longshot all have in common what transportation principle based on an idea of mathematician Stanislaw Ulam?",Spacecraft propulsion using nuclear explosions (nuclear pulse propulsion),Nuclear pulse propulsion.,No
The Bedford Level experiments conducted in 19th century England along a canal that ran in an uninterrupted straight line were carried out to determine what?,Shape of the Earth,The curvature of the Earth.,No
"If numbers 1, 16, 17 and 32 are being removed, what is the most likely procedure being performed? (hint: Unlikely to turn one into a half-wit!)",Extraction of wisdom teeth,Extraction of wisdom teeth.,Yes
"Every simply connected, closed 3-manifold is homeomorphic to the 3-sphere. Stated above is what mathematical problem named for a Frenchman that defied experts for a century before it was solved by Grigori Perelman in 2006?",Poincaré conjecture,Poincaré Conjecture.,Yes
"Think a big animal and fill in the two missing blanks. ___, ___, Indian, Javan, Sumatran",White and black (species of rhinoceros),"Tiger, leopard, Indian, Javan, Sumatran",No
What is the more common term for the affliction called epistaxis the occurrence of which suggests sexual arousal in Japanese manga and anime?,Nosebleed,Nosebleed.,Yes
"In 1876, a young Austrian student dissected hundreds of eels in search for the male sex organs. Conceding failure, he turned to other issues in frustration. Who?",Sigmund Freud (1856-1939),Sigmund Freud.,No
What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Beetles,Beetles.,Yes
"In primary school, after he had misbehaved, his teacher asked him to add all the numbers from 1 to 100. He answered in a few seconds after realizing that the pairwise addition of terms from opposite ends of the list yielded identical intermediate sums: 1 + 100 = 101, 2 + 99 = 101, 3 + 98 = 101, and so on, for a total sum of 50 × 101 = 5050. About which German genius, regarded as the greatest mathematician since antiquity is this possibly apocryphal story often told?",Carl Friedrich Gauss (1777-1855),Carl Friedrich Gauss.,No
A 'Captcha' test that usually requires a user to identify and type letters/digits from a distorted image is an attempt to ensure that a response is not generated by a computer. It is also described as a reverse what test?,Reverse Turing test,Turing test.,No
Which Prussian naturalist who influenced Darwin and whose work established the field of bio-geography also has an ocean current that flows from Chile to Peru named for him?,Alexander von Humboldt (1769-1859),Alexander von Humboldt.,No
"In metallurgy, the term 'rouging' refers to a form of corrosion found on what substance that you do not readily associate with corrosion?",Stainless steel,Stainless steel.,Yes
The Apgar score was devised in 1952 by anesthesiologist Virginia Apgar as a simple and repeatable method to assess what?,Health of a newborn child,Newborn health and well-being instantly.,No
What two sea-dwelling creatures are notable for being the only species in which males become 'pregnant'?,Seahorses and pipefishes,Seahorses and pipefish.,No
Which acid that makes up 55-80% of olive oil is also emitted by decaying bee corpses thus triggering the instincts of living bees to remove dead bees from their hives?,Oleic acid,Oleic acid.,Yes
"Steady now, the physiological sense called 'equilibrioception' allows humans and animals to do what?",Walk or stand without falling,Maintain balance and spatial orientation.,No
"Though it is the most abundant metallic element in Earth's crust, which element is very rare in its free form and once prompted Napoleon III, Emperor of France to give a banquet where the most honoured guests were given utensils made of it while the 'lesser' guests had to make do with gold!",Aluminum,Aluminum.,Yes
"A story goes that when this colorful sports figure had to undergo a surgery, his prowess at consuming alcohol was used as a guideline by the anesthesiologist as his physical attribute made all standard references moot. Who?",André the Giant,"Norman ""Norm"" Cash, or possibly Babe Ruth.",No
"""Jared Kass, one of the inventors of a recreational sport described it as follows. Fill in the missing word which is also the name of the sport. """"I just remember one time running for a pass and leaping up in the air and just feeling the Frisbee making it into my hand and feeling the perfect synchrony and the joy of the moment, and as I landed I said to myself, 'This is the ... game. This is the ... game.'""""""",Ultimate (frisbee),Ultimate.,No
"""Sportscaster Jack Brickhouse who once said """"Any team can have a bad century"""" provided play-by-play coverage of what American major league team's games from 1948 to 1981?""",Chicago Cubs,Chicago Cubs.,Yes
"""Addressing which in-the-news person did a pizza chain in India tweet on June 24, 2014 """"..., if you ever feel like biting into a tastier Italian, try our famous Calabrese pizza""""?""",The Uruguayan footballer Luis Suarez,Sachin Tendulkar,No
"""The name of what tennis star was used by a commentator for the the hole cards Ace–King (unsuited) of Texas Hold 'em as they meet the criteria of """"looks great but never wins""""?""",Anna Kournikova,Anna Kournikova.,Yes
"Summer Olympic sports are divided into categories based on popularity and the potential in generating revenue. As of 2014, only 3 sports are in Category A. They are athletics, aquatics, and what else?",Gymnastics,Gymnastics.,Yes
The Peck and Snyder are sometimes considered the first of what sporting collectibles?,Baseball cards,Baseball trading cards.,No
What American city has suffered two (separate) outcomes of what are now called 'The Move' and 'The Decision' in sports lore?,Cleveland,Cleveland.,Yes
"""The chant """"Boom I ay!"""" meaning """"kill him"""" was famously used to egg which sportsman in 1974?""",Muhammad Ali (during the Rumble in the Jungle fight),George Foreman in the Rumble in the Jungle.,No
"Just like par in golf, what is the term given to the line in skiing where most skiers aim to land?",K line,Fall line.,No
What tactic of sports commonly seen in American major leagues seeks to emphasize players defending areas of field as opposed to particular player(s)?,Zone defense,Zone defense.,Yes
"""Commenting on the election of the new pope Francis I in March 2013, which sportsperson said it was the """"hand of God"""" that brought the papacy to his country?""",Soccer superstar Diego Maradona of Argentina,Diego Maradona.,No
The Dude would know that stroking and cranking are the two main types of delivery in what sport?,Bowling,Bowling.,Yes
What is the name of the yacht that won the Royal Yacht Squadron's regatta around the Isle of Wight in 1851 and lent its name to a famous sports prize?,America,"America, the yacht.",Yes
"In golf, a six under par score has never been, and is unlikely to ever be recorded, as it requires a hole in one on a par-seven hole. What is the 'mythical' term for such a hypothetical performance? (hint: think about the names of under par scores)",Phoenix,Oscar.,No
"The 'Stimpmeter', a device that applies a known force to a ball and then measures the distance it travels is used in what sport?","In golf, to measure the speed of a putting green","Golf, to measure green speed.",No
What is the highest ranked non-human on ESPN's 1999 list of 'Top 50 Athletes of the 20th Century'?,"Secretariat, who in 1973 became the first Triple Crown champion in twenty-five years","Secretariat, the horse, ranked 35th.",No
"In 2009, the tennis player Shahar Peer was prevented from playing at the Dubai Tennis Championships after she was denied a visa mainly for her nationality. Which country was she representing?",Israel,Israel.,Yes
"What game whose objective is to knock over wooden blocks by throwing wooden sticks at them is like a combination of bowling, horseshoes and chess and enjoys popularity in Sweden?",Kubb,Kubb.,Yes
"Statistically the greatest driver of Formula One, Michael Schumacher won his seven championships with which two companies?",Benetton and Ferrari,Benetton and Ferrari.,Yes
"In Japanese sporting world, one of the more unusual memorabilia that can be purchased is the 'tegata.' This is the sumo version of what?",Autograph,Autograph.,Yes
"Nicknamed the Russian Dan Gable, he went undefeated in international competition from 1987 to 2000 until upset by the American wrestler Rulon Gardner. He won gold medals at the 1988, 1992, and 1996 Olympic Games and went the last six years of his unbeaten streak without giving up a point. Who is he?","Alexander Karelin, the greatest Greco-Roman wrestler of all time",Alexander Karelin.,No
"""Which Chinese games' name literally means in English """"little sparrow""""?""",MAH JONG,"Wúhuī, or  Sparrow chess game.",No
"Blind Hughie, Sebastapol, All Fives and Block are all forms of which popular game?",DOMINOES,Dominoes.,Yes
Which Asian city's international airport is built at the mouth of the Tama-gawa?,TOKYO,Haneda Airport in Tokyo.,Yes
From which fruit is Slivovitz made?,PLUMS,Plum.,No
"""Deceased wrestler 'Leon Aras' was the voice of the """"Tetley Tea Folk"""", by what more familiar name was he known?""",BRIAN GLOVER,"Peter Hawkins, also known as ""Peter Arne"".",No
Who was on the English throne 1377 - 99?,RICHARD II,Richard II.,Yes
"Which 590 mile long river rises on France's 'Langres Plateau', enters Belgium at Givet, then flows across that country to Holland and thence to the North Sea?",MEUSE,The Meuse River.,Yes
"From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?",'COUNTESS FROM HONG KONG','A Countess from Hong Kong'.,No
Which team won the first 'Super Bowl'?,GREEN BAY PACKERS,Green Bay Packers won the first Super Bowl.,Yes
Which car manufacturer made models called 'Ensign' and 'Vanguard'?,STANDARD,Standard Triumph made Ensign and Vanguard models.,Yes
Which leader of a British coalition Government became the first Earl of Dwfor?,DAVID LLOYD-GEORGE,David Lloyd George.,No
Who was European Footballer of the Year for 1973 and 1974?,JOHANN CRUYFF,"Johan Cruyff, then Johan Cruyff again.",No
The existance of which planet was mathematically,NEPTUNE,"Uranus, predicted by Adams and Leverrier.",No
Who scored the only goal when Everton defeated Manchester United in the 1995 FA Cup Final?,PAUL RIDEOUT,Paul Rideout.,Yes
Who played the title role in the 2008 film 'The Wrestler'?,MICKEY ROURKE,Mickey Rourke.,Yes
Who played the title role in the 2008 film 'The Curious Case Of Benjamin Button'?,BRAD PITT,Brad Pitt.,Yes
Protons and Neutrons are both examples of which class of sub-atomic particle that takes its name from the Greek for 'heavy'?,BARYONS,"Hadrons, or more specifically, baryons.",Yes
"Prior to the introduction of the Euro, which coin was equal to one-hundredth of a German Mark?",PFENNIG,Pfennig.,Yes
Which collection of poems did William Blake publish in 1794 as a sequel to his earlier collection 'Songs Of Innocence'?,'SONGS OF EXPERIENCE',Songs of Experience.,No
Which English weaver and carpenter invented the 'Spinning Jenny' in 1764?,JAMES HARGREAVES,James Hargreaves.,Yes
For what did the 'T' stand in the name of 'Captain James T. Kirk' in 'Star Trek'?,'TIBERIUS',Tiberius.,No
"What two word name is given to an 1887 demonstration in London against Irish repression, a 1905 massacre in St. Petersburg, and a 1972 shooting of civilians in Londonderry?",'BLOODY SUNDAY',Bloody Sunday.,No
The musical 'Sunday In The Park With George' was inspired by a painting by which artist?,GEORGES SEURAT,Georges Seurat.,Yes
"Livorno, Pisa and Siena are three of the largest cities in which Italian region?",TUSCANY,Tuscany.,Yes
Which country took over the Presidency of the European Union from Sweden on 1st. January 2010?,SPAIN,Spain took over the presidency from Sweden.,Yes
"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",DIEGO GARCIA,Diego Garcia.,Yes
Which (supposedly) non-lethal weapon was named by the inventor after his childhood hero 'Tom Swift'?,TASER (Thomas A. Swift Electric Rifle),Taser.,No
"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",GEORGE BLAKE,"George Blake and others, but mainly George Blake.",Yes
Who was the last non-American (non-Williams) to win the Ladies \singles at Wimbledon?,AMELIE MAURESMO,"Amélie Mauresmo, a French player, in 2006.",No
"Born in Hexham in 1947, what is the profession of Mark Elder?",(Orchestral) CONDUCTOR,Conductor.,No
'Professor Cuthbert Calculus' is an associate of which character?,'TINTIN',Tintin.,No
What is the capital city of Croatia?,ZAGREB,Zagreb.,Yes
Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,TOM STOPPARD,Tom Stoppard.,Yes
Who resigned as President of Germany in February?,CHRISTIAN WULFF,"Frank-Walter Steinmeier did not, it was Christian Wulff.",Yes
Which Prime Minister created the first Life Peerages?,HAROLD MACMILLAN,"Harold Wilson in 1958, with Life Peerages Act.",No
"Which company with a trademark (£, a German 'L') similar to a £ sign released the first nine 'Beatles' albums?",PARLOPHONE,Parlophone.,Yes
"Which painting by Thomas Gainsborough is thought to be of Jonathan Buttall, the son of a wealthy hardware merchant?",'THE BLUE BOY',The Blue Boy.,No
In 'Harry Potter and the Philosopher's Stone' what is the name of the three-headed dog provided by 'Hagrid' to guard the trapdoor leading to the chamber where the stone was kept?,'FLUFFY',"Fluffy, a three-headed dog.",No
Who was the Muse of Comedy?,THALIA,Thalia.,Yes
"When Alex Ferguson joined Manchester United on November 6th 1986, who was manager of Liverpool?",KENNY DALGLISH,Kenny Dalglish.,Yes
The Platypus together with the four species of which mammal are the only surviving 'Monotremes'?,ECHIDNA (accept Spiny Anteater),The Echidna.,No
How is the former G-Mex Centre in Manchester now known?,MANCHESTER CENTRAL,Manchester Central Convention Complex.,Yes
In 1995 who famously walked out of the play 'Cellmates' after three days of its London run?,STEPHEN FRY,Stephen Fry.,Yes
What colour is the square (which contains a white star) on the flag of Chile?,BLUE,Blue.,Yes
"The city of Nizhny Novgorod was, from 1932 to 1990, named for which writer who was born there?",GORKY,Gorky.,Yes
What was the half-time score in the 1966 FIFA World Cup Final?,1-1,4-2 to England against West Germany.,No
How was BBC Radio 7 rebranded in April 2011?,(BBC) RADIO 4 EXTRA,BBC Radio 7 became BBC Radio 4 Extra.,No
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,CLARE,Clare.,Yes
‘The Road Back’ is the sequel to which novel by Erich Maria Remarque published in 1929?,ALL QUIET ON THE WESTERN FRONT,All Quiet on the Western Front.,Yes
Edward Elgar was appointed Master of the King’s Musick to which monarch?,GEORGE V,King George V.,Yes
Name any of the three longest serving Labour MPs – all elected in 1970.,"GERALD KAUFMAN, MICHAEL MEACHER or DENNIS SKINNER","Tam Dalyell, Alan Williams, and John Morris.",No
What is the family name of the four Englishmen who play Rugby League for the South Sydney Rabbitohs?,BURGESS Note: Sam Burgess will leave the Rabbitohs at the end of 2014 to play Rugby Union for Bath,The Burgess brothers.,No
Kiel and Lübeck are cities in which German state?,SCHLESWIG-HOLSTEIN,Schleswig-Holstein.,Yes
In which city were the 1984 Summer Olympics held?,LOS ANGELES,Los Angeles.,Yes
"In imperial measure, how many gills are there in a gallon?",32,"8 pints, 4 quarts, 160 gills.",No
"Which premiership manager upset Louis Van Gaal in February 2015, when he described his team as long ball united?",Sam Allardyce,"Mauricio Pochettino, no, it was Tony Pulis.",No
Whose picture is on the US 20 dollar note?,Andrew Jackson,"Harriet Tubman, replacing Andrew Jackson.",Yes
What is the name of the German anti-Islamisation group that organised a march in Newcastle last month (March 2015)?,Pegida,Pegida UK.,Yes
"Name the year: American gangster AI Capone dies, Princess Elizabeth marries and India gains its independence?",1947,1947.,Yes
How many champagne bottles are there in a Methuselah?,8,Eight standard champagne bottles.,No
"""Which Prime Minister said """"the War Office kept three sets of figures, one to mislead the public, one to mislead the Cabinet and one to mislead itself""""?""",Herbert Asquith,Winston Churchill.,No
"""Which European city in the """"low countries"""" has been dubbed """"The Venice Of The North""""?""",BRUGES,Amsterdam.,No
"Which 19th century king sired ten illegitimate children, by the Irish comedienne, Dorothea Jordan?",WILLIAM IV,King William IV of England.,Yes
