question,ground_truth
"A steel sphere filled with sodium housed at the University of Maryland seeks to register the flipping of what physical property that is of enormous significance to mariners, among others?",Magnetic field lines' polarity (magnetic north).
"St Thomas's Abbey, Brno in the Czech Republic was the scene of whose path-breaking work from 1856 to 1863?",Gregor Mendel's.
What is the last name name of the doctor who first described a certain disease in An Essay on the Shaking Palsy written in 1817?,Parkinson.
The Hubble sequence that classifies galaxies is also known for being drawn in what shape?,A tuning fork shape.
The bitter 19th century rivalry between paleontologists Edward Drinker Cope and Othniel Charles Marsh during their search for dinosaur fossils is usually described with what 2-words?,Bone Wars
Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,"Physics, compared to stamp collecting."
Dr. Benjamin Rush gave what expeditionary group mercury laced laxatives which proved to be excellent tracers by which archaeologists have now been able to track their actual route?,Lewis and Clark expedition.
Can you connect Darwin and his research on Galapagos Islands to the book To Kill a Mockingbird?,"No direct connection, different contexts and themes."
The Miller-Urey experiment conducted in 1953 that simulated the conditions of the early days of Earth aimed to investigate what?,Origin of life on Earth.
"In genetics, who is the woman who lived approximately 190,000-200,000 years ago and who was the most recent woman from whom all living humans today descend?",Mitochondrial Eve.
What is the more common name for 'transposons' discovered by Barbara McClintock who investigated the reason for uneven splattering of color in corn kernels?,Jumping genes.
What term was popularized by Nobel Prize-winning Paul Crutzen to replace 'Holocene' epoch on the Geological Time Scale as he felt that the influence of humans on Earth is significant?,Anthropocene.
"Project Orion, Project Daedalus, Medusa, and Project Longshot all have in common what transportation principle based on an idea of mathematician Stanislaw Ulam?",Nuclear pulse propulsion.
The Bedford Level experiments conducted in 19th century England along a canal that ran in an uninterrupted straight line were carried out to determine what?,The curvature of the Earth.
"If numbers 1, 16, 17 and 32 are being removed, what is the most likely procedure being performed? (hint: Unlikely to turn one into a half-wit!)",Extraction of wisdom teeth.
"Every simply connected, closed 3-manifold is homeomorphic to the 3-sphere. Stated above is what mathematical problem named for a Frenchman that defied experts for a century before it was solved by Grigori Perelman in 2006?",Poincaré Conjecture.
"Think a big animal and fill in the two missing blanks. ___, ___, Indian, Javan, Sumatran","Tiger, leopard, Indian, Javan, Sumatran"
What is the more common term for the affliction called epistaxis the occurrence of which suggests sexual arousal in Japanese manga and anime?,Nosebleed.
"In 1876, a young Austrian student dissected hundreds of eels in search for the male sex organs. Conceding failure, he turned to other issues in frustration. Who?",Sigmund Freud.
What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Beetles.
"In primary school, after he had misbehaved, his teacher asked him to add all the numbers from 1 to 100. He answered in a few seconds after realizing that the pairwise addition of terms from opposite ends of the list yielded identical intermediate sums: 1 + 100 = 101, 2 + 99 = 101, 3 + 98 = 101, and so on, for a total sum of 50 × 101 = 5050. About which German genius, regarded as the greatest mathematician since antiquity is this possibly apocryphal story often told?",Carl Friedrich Gauss.
A 'Captcha' test that usually requires a user to identify and type letters/digits from a distorted image is an attempt to ensure that a response is not generated by a computer. It is also described as a reverse what test?,Turing test.
Which Prussian naturalist who influenced Darwin and whose work established the field of bio-geography also has an ocean current that flows from Chile to Peru named for him?,Alexander von Humboldt.
"In metallurgy, the term 'rouging' refers to a form of corrosion found on what substance that you do not readily associate with corrosion?",Stainless steel.
The Apgar score was devised in 1952 by anesthesiologist Virginia Apgar as a simple and repeatable method to assess what?,Newborn health and well-being instantly.
What two sea-dwelling creatures are notable for being the only species in which males become 'pregnant'?,Seahorses and pipefish.
Which acid that makes up 55-80% of olive oil is also emitted by decaying bee corpses thus triggering the instincts of living bees to remove dead bees from their hives?,Oleic acid.
"Steady now, the physiological sense called 'equilibrioception' allows humans and animals to do what?",Maintain balance and spatial orientation.
"Though it is the most abundant metallic element in Earth's crust, which element is very rare in its free form and once prompted Napoleon III, Emperor of France to give a banquet where the most honoured guests were given utensils made of it while the 'lesser' guests had to make do with gold!",Aluminum.
"A story goes that when this colorful sports figure had to undergo a surgery, his prowess at consuming alcohol was used as a guideline by the anesthesiologist as his physical attribute made all standard references moot. Who?","Norman ""Norm"" Cash, or possibly Babe Ruth."
"""Jared Kass, one of the inventors of a recreational sport described it as follows. Fill in the missing word which is also the name of the sport. """"I just remember one time running for a pass and leaping up in the air and just feeling the Frisbee making it into my hand and feeling the perfect synchrony and the joy of the moment, and as I landed I said to myself, 'This is the ... game. This is the ... game.'""""""",Ultimate.
"""Sportscaster Jack Brickhouse who once said """"Any team can have a bad century"""" provided play-by-play coverage of what American major league team's games from 1948 to 1981?""",Chicago Cubs.
"""Addressing which in-the-news person did a pizza chain in India tweet on June 24, 2014 """"..., if you ever feel like biting into a tastier Italian, try our famous Calabrese pizza""""?""",Sachin Tendulkar
"""The name of what tennis star was used by a commentator for the the hole cards Ace–King (unsuited) of Texas Hold 'em as they meet the criteria of """"looks great but never wins""""?""",Anna Kournikova.
"Summer Olympic sports are divided into categories based on popularity and the potential in generating revenue. As of 2014, only 3 sports are in Category A. They are athletics, aquatics, and what else?",Gymnastics.
The Peck and Snyder are sometimes considered the first of what sporting collectibles?,Baseball trading cards.
What American city has suffered two (separate) outcomes of what are now called 'The Move' and 'The Decision' in sports lore?,Cleveland.
"""The chant """"Boom I ay!"""" meaning """"kill him"""" was famously used to egg which sportsman in 1974?""",George Foreman in the Rumble in the Jungle.
"Just like par in golf, what is the term given to the line in skiing where most skiers aim to land?",Fall line.
What tactic of sports commonly seen in American major leagues seeks to emphasize players defending areas of field as opposed to particular player(s)?,Zone defense.
"""Commenting on the election of the new pope Francis I in March 2013, which sportsperson said it was the """"hand of God"""" that brought the papacy to his country?""",Diego Maradona.
The Dude would know that stroking and cranking are the two main types of delivery in what sport?,Bowling.
What is the name of the yacht that won the Royal Yacht Squadron's regatta around the Isle of Wight in 1851 and lent its name to a famous sports prize?,"America, the yacht."
"In golf, a six under par score has never been, and is unlikely to ever be recorded, as it requires a hole in one on a par-seven hole. What is the 'mythical' term for such a hypothetical performance? (hint: think about the names of under par scores)",Oscar.
"The 'Stimpmeter', a device that applies a known force to a ball and then measures the distance it travels is used in what sport?","Golf, to measure green speed."
What is the highest ranked non-human on ESPN's 1999 list of 'Top 50 Athletes of the 20th Century'?,"Secretariat, the horse, ranked 35th."
"In 2009, the tennis player Shahar Peer was prevented from playing at the Dubai Tennis Championships after she was denied a visa mainly for her nationality. Which country was she representing?",Israel.
"What game whose objective is to knock over wooden blocks by throwing wooden sticks at them is like a combination of bowling, horseshoes and chess and enjoys popularity in Sweden?",Kubb.
"Statistically the greatest driver of Formula One, Michael Schumacher won his seven championships with which two companies?",Benetton and Ferrari.
"In Japanese sporting world, one of the more unusual memorabilia that can be purchased is the 'tegata.' This is the sumo version of what?",Autograph.
"Nicknamed the Russian Dan Gable, he went undefeated in international competition from 1987 to 2000 until upset by the American wrestler Rulon Gardner. He won gold medals at the 1988, 1992, and 1996 Olympic Games and went the last six years of his unbeaten streak without giving up a point. Who is he?",Alexander Karelin.
"""Which Chinese games' name literally means in English """"little sparrow""""?""","Wúhuī, or  Sparrow chess game."
"Blind Hughie, Sebastapol, All Fives and Block are all forms of which popular game?",Dominoes.
Which Asian city's international airport is built at the mouth of the Tama-gawa?,Haneda Airport in Tokyo.
From which fruit is Slivovitz made?,Plum.
"""Deceased wrestler 'Leon Aras' was the voice of the """"Tetley Tea Folk"""", by what more familiar name was he known?""","Peter Hawkins, also known as ""Peter Arne""."
Who was on the English throne 1377 - 99?,Richard II.
"Which 590 mile long river rises on France's 'Langres Plateau', enters Belgium at Givet, then flows across that country to Holland and thence to the North Sea?",The Meuse River.
"From which film, for which Chaplin film wrote the music, did Petula Clark have a Number One with 'This Is My Song'?",'A Countess from Hong Kong'.
Which team won the first 'Super Bowl'?,Green Bay Packers won the first Super Bowl.
Which car manufacturer made models called 'Ensign' and 'Vanguard'?,Standard Triumph made Ensign and Vanguard models.
Which leader of a British coalition Government became the first Earl of Dwfor?,David Lloyd George.
Who was European Footballer of the Year for 1973 and 1974?,"Johan Cruyff, then Johan Cruyff again."
The existance of which planet was mathematically,"Uranus, predicted by Adams and Leverrier."
Who scored the only goal when Everton defeated Manchester United in the 1995 FA Cup Final?,Paul Rideout.
Who played the title role in the 2008 film 'The Wrestler'?,Mickey Rourke.
Who played the title role in the 2008 film 'The Curious Case Of Benjamin Button'?,Brad Pitt.
Protons and Neutrons are both examples of which class of sub-atomic particle that takes its name from the Greek for 'heavy'?,"Hadrons, or more specifically, baryons."
"Prior to the introduction of the Euro, which coin was equal to one-hundredth of a German Mark?",Pfennig.
Which collection of poems did William Blake publish in 1794 as a sequel to his earlier collection 'Songs Of Innocence'?,Songs of Experience.
Which English weaver and carpenter invented the 'Spinning Jenny' in 1764?,James Hargreaves.
For what did the 'T' stand in the name of 'Captain James T. Kirk' in 'Star Trek'?,Tiberius.
"What two word name is given to an 1887 demonstration in London against Irish repression, a 1905 massacre in St. Petersburg, and a 1972 shooting of civilians in Londonderry?",Bloody Sunday.
The musical 'Sunday In The Park With George' was inspired by a painting by which artist?,Georges Seurat.
"Livorno, Pisa and Siena are three of the largest cities in which Italian region?",Tuscany.
Which country took over the Presidency of the European Union from Sweden on 1st. January 2010?,Spain took over the presidency from Sweden.
"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",Diego Garcia.
Which (supposedly) non-lethal weapon was named by the inventor after his childhood hero 'Tom Swift'?,Taser.
"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?","George Blake and others, but mainly George Blake."
Who was the last non-American (non-Williams) to win the Ladies \singles at Wimbledon?,"Amélie Mauresmo, a French player, in 2006."
"Born in Hexham in 1947, what is the profession of Mark Elder?",Conductor.
'Professor Cuthbert Calculus' is an associate of which character?,Tintin.
What is the capital city of Croatia?,Zagreb.
Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,Tom Stoppard.
Who resigned as President of Germany in February?,"Frank-Walter Steinmeier did not, it was Christian Wulff."
Which Prime Minister created the first Life Peerages?,"Harold Wilson in 1958, with Life Peerages Act."
"Which company with a trademark (£, a German 'L') similar to a £ sign released the first nine 'Beatles' albums?",Parlophone.
"Which painting by Thomas Gainsborough is thought to be of Jonathan Buttall, the son of a wealthy hardware merchant?",The Blue Boy.
In 'Harry Potter and the Philosopher's Stone' what is the name of the three-headed dog provided by 'Hagrid' to guard the trapdoor leading to the chamber where the stone was kept?,"Fluffy, a three-headed dog."
Who was the Muse of Comedy?,Thalia.
"When Alex Ferguson joined Manchester United on November 6th 1986, who was manager of Liverpool?",Kenny Dalglish.
The Platypus together with the four species of which mammal are the only surviving 'Monotremes'?,The Echidna.
How is the former G-Mex Centre in Manchester now known?,Manchester Central Convention Complex.
In 1995 who famously walked out of the play 'Cellmates' after three days of its London run?,Stephen Fry.
What colour is the square (which contains a white star) on the flag of Chile?,Blue.
"The city of Nizhny Novgorod was, from 1932 to 1990, named for which writer who was born there?",Gorky.
What was the half-time score in the 1966 FIFA World Cup Final?,4-2 to England against West Germany.
How was BBC Radio 7 rebranded in April 2011?,BBC Radio 7 became BBC Radio 4 Extra.
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,Clare.
‘The Road Back’ is the sequel to which novel by Erich Maria Remarque published in 1929?,All Quiet on the Western Front.
Edward Elgar was appointed Master of the King’s Musick to which monarch?,King George V.
Name any of the three longest serving Labour MPs – all elected in 1970.,"Tam Dalyell, Alan Williams, and John Morris."
What is the family name of the four Englishmen who play Rugby League for the South Sydney Rabbitohs?,The Burgess brothers.
Kiel and Lübeck are cities in which German state?,Schleswig-Holstein.
In which city were the 1984 Summer Olympics held?,Los Angeles.
"In imperial measure, how many gills are there in a gallon?","8 pints, 4 quarts, 160 gills."
"Which premiership manager upset Louis Van Gaal in February 2015, when he described his team as long ball united?","Mauricio Pochettino, no, it was Tony Pulis."
Whose picture is on the US 20 dollar note?,"Harriet Tubman, replacing Andrew Jackson."
What is the name of the German anti-Islamisation group that organised a march in Newcastle last month (March 2015)?,Pegida UK.
"Name the year: American gangster AI Capone dies, Princess Elizabeth marries and India gains its independence?",1947.
How many champagne bottles are there in a Methuselah?,Eight standard champagne bottles.
"""Which Prime Minister said """"the War Office kept three sets of figures, one to mislead the public, one to mislead the Cabinet and one to mislead itself""""?""",Winston Churchill.
"""Which European city in the """"low countries"""" has been dubbed """"The Venice Of The North""""?""",Amsterdam.
"Which 19th century king sired ten illegitimate children, by the Irish comedienne, Dorothea Jordan?",King William IV of England.
"""Director James Cameron, collected the 'Oscar' for """"Best Director"""" in 1998, for which film?""",Titanic.
'Cape Cod Salad' is an exotic summer dish centred,Around lobster and mayonnaise.
"In 'Moh's Scale' of hardness, Talc is at number 1, but what is number 2?",Gypsum is number 2.
Who wrote the music for 'Jerusalem'?,Charles Hubert Hastings Parry.
"What name is given to the lowest commissioned officer in a cavalry regiment, such as Prince Harry?",Cornet.
What was the name of the eponymous 'Knight of the Holy Grail' in an opera by Wagner?,Parsifal.
What sort of plant is 'Bladderwrack'?,"Seaweed, brown marine algae."
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",Crimson Tide.
"Urs Buhler, Sebastian Izambard, Carlos Martin and David Millercomprise which singing group?",Il Divo.
Who is currently fifth in line to the Throne?,Prince Louis of Cambridge.
"Who was the first winner of 'I'm A Celebrity, Get Me Out Of Here'?","Tony Blackburn, 2002 winner."
What shape is something that is 'Cordiform'?,Heart-shaped.
What is the name of the Welsh television producer and writer who created 'Torchwood'?,Russell T Davies.
Who became the second Astronomer Royal upon the death of John Flamstead in 1619?,"Edmond Halley did, in 1720, not 1619."
The animated televisionseries 'South Park' is set in the fictional town of 'South Park' in which American state?,Colorado.
"Which film, released in 2008, and starring Ryan Reynolds and Rachel Weisz, shares its title with an album released by 'Oasis' in 1994?","Definitely, Maybe"
At which English footballstadium is the UEFA Cup final to be held next month (May 2008)?,Manchester's City of Stadium.
"Which British Prime Minister who came to office in 1894, took to riding around London in a carriage at night in an attempt to cure his lifelong insomnia?","Archibald Primrose, 5th Earl of Rosebery."
William Milbourne Ames was the model for which painting of 1886?,"""Arrangement in Grey and Black No. 1"""
Name either of the two European countries that were invited to join NATO earlier this month (April 2008)?,Croatia and Albania.
"Prior to Gordon Brown, who was the last British Prime Minister to represent a Scottish constituency?","Arthur James Balfour, 1902-1905."
Give any year in the life of the painter Canaletto?,1760.
"Which 1993 film starring Tom Cruise, was about a young lawyer who eventually realised that the wealth of the Memphis law firm he worked for emanated from the Mafia?",The Firm.
Scone Castle shares its grounds with which racecourse?,"Scone Palace, Perth Racecourse."
In which sport may a 'Mulligan' be awarded?,Golf.
Which 2001 film starring Joseph Fiennes and Ed Harris is about two opposing snipers facing each other during the Battle of Stalingrad?,Enemy at the Gates.
Which actor and producer married Anne Bancroft?,Mel Brooks married Anne Bancroft.
Pipistrellus is a genus of which mammal?,Bats.
Which word completes the name of the rock band 'Half Man Half...'?,Biscuit
"""Which 1968 book by Richard Hooker begins """"When Radar O'Reilly, just out of high school left Ottumwa, Iowa and enlisted in the United States Army...""""?""",MASH: A Novel About Three Army Doctors.
Which British daily newspaper is published in the Berliner format?,The Guardian is published in the Berliner format.
Which is the only mammal of the order Proboscidea?,Elephant.
Who according to the title of a 1992 novel was 'Count Lazzio de Almasy'?,Almásy in 'The English Patient'.
Who composed both 'Merrie England' and 'Tom Jones'?,Edward German.
Which famous British actor is/was married to Anouk Aimee?,Albert Finney was married to Anouk Aimée.
Who was Prime Minister of China from 1949 to 1976?,Zhou Enlai.
"What, traditionally, would a Cordwainer make?","Fine, handmade leather shoes."
"Who together with Vince Clarke, formed the pop duo 'Yazoo'?",Alison Moyet.
Between 1959 and 1967 which city was the capital of Pakistan (Islamabad was being built)?,"Rawalpindi and then Lahore, but mainly Rawalpindi and Karachi"
"In a car, what can be an 'SU', a 'Weber', or a 'Zenith'?",Carburetor.
What was the middle name of the character 'Albert Steptoe' from the t.v. series 'Steptoe and Son'?,Edward.
The Liberal Democrats' 2011 Party Conference was held in which city?,Birmingham.
"Which 19th century British novelist, who worked as a Surveyor for the Post Office, was reputedly instrumental in the introduction of the pillar box in 1852?",Anthony Trollope.
The 'Yid Army' are/were a gang of football hooligans who supported which London club?,Tottenham Hotspur.
Which of the 'Spice Girls' advertised 'Milky Way' ob t.v.?,Mel B (Melanie Brown).
Which language - originally a form of Anglo-Chinese jargon was used by traders and businessmen on the China coast?,Pidgin English.
Who was hanged in 1962 for the murder of Michael Gregson?,James Hanratty.
2004 is the 300th anniversary of Britain’s first victory on European soil since Agincourt when Marlborough defeated the French in which battle?,Blenheim.
In what US state is Mount Rushmore?,South Dakota.
In which capital city are the Tivoli gardens?,"Copenhagen, Denmark."
In which Children's book does the character Wilbur the Pig appear?,Charlotte's Web.
The Kalahari Desert lies chiefly in which country?,Botswana.
In which county is Dunstanburgh Castle?,Northumberland.
"What was the forename of the composer of the 'Bolero', which featured in the film '10' starring Bo Derek and Dudley Moore?",Maurice.
"What connects Ray Reardon, Geoff Capes and Christopher Dean?",All BBC Sports Personality winners.
In which London Square will you find the Roosevelt Memorial?,Grosvenor Square.
Which stretch of water lies between Iceland and Greenland?,The Denmark Strait.
"Which fashion designer wrote the book, 'Men Without Ties'?",Brunello Cucinelli.
"""Which Latin legal term means """"You should have the body""""?""",Habeas Corpus.
Of what is Malocology the scientific study?,"Mollusks, specifically shells and related organisms."
RAF Lakenheath is situated in which English county?,Suffolk.
The War of Bavarian Succession was fought between Austria and which other country?,Prussia.
"Who became the first BDO Women's World Darts Champion in 2001, winning her sixth world title in January 2006?",Trina Gulliver.
Which group recorded the 1976 album 'Rastaman Vibration'?,Bob Marley and the Wailers.
What is the general term for heat energy that has been drawnfrom under the ground?,Geothermal energy.
"With a 'Beaufort Scale' number of 8, and a wind speed of 39 - 46mph. How is this wind force described?",Gale force winds.
"Which battle, the first of the War Of The Roses, took placein 1455 and saw the Yorkists victorious over the Lancastrians?",The First Battle of St Albans.
"A 'Tope', also known as a 'Stupa', is a domed structure erected as a burial place in which religion?",Buddhism.
"Which hymn, based on Psalm 90, by Isaac Watts to a tune by William Croft, is particularly associated with Rememberance Sunday?","O God, our help in ages past."
"In 1337 which English king claimed the throne of France, precipitating the '100 Years War'?",Edward III.
"According to the Bible, what was Eve made from?",Adam's rib.
What kind of bird can fly the highest?,Bar-headed goose flies the highest naturally.
"'Whole Lotta Love', 'Yellow Pearl', 'The Wizard', and 'Get Out Of That' have all been theme tunes to which television programme?",Top of the Pops.
"""Correct this quotation from FD Roosevelt.""""The only thing we have to fear is the enemy""""?""","""Fear itself."""
"In 1942, which town was destroyed by Nazis in reprisal for the assassination of Reinhard Heydrick?",Lidice.
Who was the last man to wim the Men's Singles Championship at Wimbledon prior to Roger Federer?,Pete Sampras.
The A2 connects London to which other town or city?,Dover.
"""Which movie of 1980 used the tag-line """"They'll never get caught. They're on a mission from God""""?""",The Blues Brothers.
Who founded the 'Quakers' in the 17th century?,George Fox founded the Quakers.
The Zodiac sign 'Libra' belongs to which element?,Air element.
Which manufacturer produced a motor cycle called the 'Dominator'?,Norton produced the Dominator motorcycle.
In which novel by Charles Dickens does 'Miss Cornelia Blimber' appear?,Dombey and Son.
In which city was Michael Jackson born?,"Gary, Indiana."
Which US statesman is on the $100 bill?,Benjamin Franklin.
Which US state is called 'Old Dominion'?,Virginia.
What was the difference between a 'Hawker' and a 'Peddler'?,"Hawker sells from a fixed location, peddler travels."
Who was the President of France at the time of the Falklands War?,François Mitterrand.
What is the nationality of Manchester City's £27 million striker Edin Dzeko?,Bosnian.
"In the King James Version, which eponymous book of the Old Testament follows 'Esther' and precedes 'Psalms'?",Job.
"Christina Kirchner was elected as the first female President of which South American country, in 2007?",Argentina.
Which are the only two colours to appear on the flags of Ukraine and Palau?,Blue and yellow.
"Which dish, consisting of toast, bacon, poached egg and Hollandaise sauce, is named after a 19th century New York stockbroker?",Eggs Benedict.
What name is given to the open carts used during the French Revolution to transport the condemned to the guillotine?,Tumbrils.
Who is the United Nations and Arab League envoy to Syria?,Staffan de Mistura and then Geir Pedersen.
Which English town was awarded city status in March this year?,"Southampton and Milton Keynes, among others, were awarded."
Two of Peter O'Toole's nominations for Best Actor 'Oscar' were for playing which English king in two different films?,Henry II.
"Although both her parents are Australian, in which US state was Nicole Kidman born?",Hawaii.
Which Liverpool player scored two goals in both the semi-final and final of the FA Cup in 1986?,Ian Rush scored.
How many pieces does each player have at the start of a game of Draughts?,12 pieces per player.
Whose horse was called Sleipnir?,Odin's horse.
Which word is missing from this music hall song ‘When father papered the ......... You couldn’t see pa for paste’?,Parlour
In the 1963 film ‘Summer Holiday’ the four boys are joined by a girl trio during their journey. Name any of the three actresses in the trio.,"Lauri Peters, Jennifer Baker, and Pamela Hart."
Which composer was married to Clara Wieck from 1840 until his death in 1856?,Robert Schumann.
The flag of which extinct European country contained its coat-of-arms (a hammer and compass surrounded by a ring of rye) on the traditional tricolour from 1959 until 1990?,East Germany.
What is the name of the dog in Jerome K Jerome’s ‘Three Men in a Boat’?,Montmorency.
Which operatic heroine dies by throwing herself from the Castel Sant’Angelo in Rome?,"Tosca, in Puccini's opera."
"Born on this day in 1962 John Hannah played which detective on TV, the role being taken over after the first series by Ken Stott?",Rebus
Whose horse was called Incitatus?,Caligula's horse.
Which saint was known as “The Apostle of the Indies”?,Saint Francis Xavier.
Herisson is the heraldic name of which small animal?,Hedgehog.
"What nationality was Pope Adrian the sixth, the only man from that country to have held the position?",Dutch (Netherlands).
Which word can mean a unit of measurement of a small island?,Acre.
A democracy is a society ruled by the people. What name is given to a society ruled by the wealthy?,Plutocracy.
Whose fifth symphony is known as “The Reformation”?,Mendelssohn's fifth symphony.
"Nicknamed “Old Grog”, which 18th century Admiral ordered the watering down of Royal Navy rum rations?",Vice-Admiral Edward Vernon.
What wa American composer Hoagy Charmichael’s real full Christian name?,Hoagland Howard Carmichael.
Which name is the last word of the second line of each verse of the poem Buckingham Palace by A A Milne?,Christopher.
How many Enigma Variations did Edward Elgar compose?,Edward Elgar composed 14 Enigma Variations.
By what first name was the actor brother of Vanessa and Lynn Redgrave known?,Corin.
"What was the name of the western lowland gorilla that arrived at London Zoo in November 1947, living there until his death in 1978?",Guy the Gorilla.
Which writer created the detective Charlie Chan?,Earl Derr Biggers.
Which is the lowest rank of the Peerage?,Baron or Lord is the lowest rank.
"""What is the English translation of the Italian word """"paparazzi""""?""",Photographers who take intrusive pictures.
"""Which classic poem's first line is """"A thing of beauty is a joy forever""""?""",Endymion by John Keats.
"Which Duke is the only person allowed by Royal Warrant, to keep a private army in Great Britain?","The Duke of Atholl's private army, the Atholl Highlanders."
The battle of 'Flodden Field' took place in which English county?,Northumberland.
Which German city is served by 'Lohausen Airport'?,Düsseldorf.
'Sir Oliver Martext' is avicar in which of Shakespeare's comedies?,As You Like It.
Which art gallery is in Trafalgar Square?,National Gallery.
"Which unit of weight, equal to one gram per 9,000 metres, is used to measure the fineness of nylon?",Denier.
In which country is the Eurovision Song Contest to be held later this month?,United Kingdom hosts Eurovision this year.
Which vegetable is added to Lasagne to make 'Lasagne Verdi'?,Spinach.
"Also a plumber, what is the name of 'Super Mario's' older brother?",Luigi.
The Esplanade des Quincones and the Colonnes des Girondinsare famous landmarks in which French city?,Bordeaux.
"Elected in 2008, who is the current Prime Minister of New Zealand?","Chris Hipkins, elected in 2023, not 2008."
"Based on a true story, which 2008 film starred Keira Knightley as the tragic Georgiana Cavendish?",The Duchess.
"Although they are best known for their only top five hit ,'Amateur Hour' and 'Beat The Clock' were other chart singles for which '70's group?",Rockets or possibly Sparks.
Which town in southeast Wales became a UNESCO World Heritage Site in 2000?,Blaenavon.
"Winning 102 caps between 1988 and 202, who is the Republic of Ireland's most capped player?",Robbie Keane.
Which village in south-central Scotland became a UNESCO World Heritage Site in 2001?,New Lanark village.
In which country would you find the wine-producing region known as 'Casablanca Valley'?,Chile.
Who played the title role in the TV series 'The Rockford Files'?,James Garner.
Who was appointed as the first High Representative for Foreign Affairs and Security Policy of the European Union in 2009?,Catherine Ashton.
Who is the valet to 'Phileas Fogg' in the novel 'Around The World In Eighty Days'?,Passepartout.
Which 2009 Terry Pratchett novel features 'Mustrum Ridcully' setting up a University football team?,Unseen Academicals.
"Which work by Gilbert and Sullivan features the 'Duke of Plaza Toro' and his daughter 'Casilda', who becomes the 'Queen of Barataria'?",The Gondoliers.
Which root vegetable pie was named after a Minister of Food during World War II?,"Woolton pie, named after Lord Woolton."
In which play by Harold Brighouse is 'Willie Mossop' employed at a shoe shop?,Hobson's Choice.
In which novel by Alan Sillitoe is 'Arthur Seaton' employed at a bicycle factory?,Saturday Night and Sunday Morning.
The LOGIE Awards in Australia are the equivalent of which awards in the USA?,The Emmy Awards.
Araucaria araucana is the national tree of Chile. Although it is not a true pine it became known as the 'Chile Pine'. What is its current common English name?,Monkey Puzzle Tree.
Who played 'Jonathan Hart' in the TV series 'Hart to Hart'?,Robert Wagner played Jonathan Hart.
Bishop Abel Muzorewa who died in April was a leading figure in the politics of which African country?,Zimbabwe.
What is the name of comic book character 'Andy Capp's' wife?,Flo.
"Which detective, played on TV by Martin Shaw, was created by Alan Hunter?",George Gently
Which 2009 film is a biopic of John Lennon?,Nowhere Boy.
The youngest ever member of the Order of Merit was admitted in 1968 and is still a member. Who is he?,Prince Charles.
Which model of Ford is named after the Italian resort which was host to the 1956 Winter Olympics?,Cortina.
Who founded the TV production company 'David Paradine Productions'?,David Paradine.
"Which of the four acting McGann brothers is missing from Mark, Stephen, Joe and .....?",Paul McGann
"When it was a first performed at the Abbey Theatre in Dublin in 1907, which play caused rioting in the streets because of objections to the portrayal of rural Irish Catholic immorality?",The Playboy of the Western World.
Which African island is named in honour of the saint upon whose feast day the island was discovered in 1471?,São Tomé.
"In which country are the 'Cro-Magnon Caves', after which a type of early humans were named?",France.
"Which of the 'Classic' horse races, run at Epsom for three year old fillies on the Friday after the derby, is named after the estate then owned by the Earl of Derby?",The Oaks.
Verdigris is a green deposit that develops on which metallic element when exposed to air or seawater?,Copper.
Which country defeated the Ivory Coast to win football's Africa Cup of Nations?,Egypt won the 2021 Africa Cup of Nations.
The plot of which Arthur Miller play takes place entirely within the mind of a new York Jewish intellectual called 'Quentin'?,After the Fall.
Which pub on Whitechapel Road was the site of William Booth's first sermon and the murder of the mobster George Cornell by Ronnie Kray?,The Blind Beggar pub.
"Thought to have received the name because its riverside location made it susceptible to concentrations of fog and industrial smoke, Foggy Bottom is one of the oldest and best known neighborhoods of which US city?","Washington, D.C."
Arrecife is the largest city on which of the Canary Islands whose name is derived from that of a Genoese navigator?,"Lanzarote, named after Lanzarote Malocello."
In which US city did the 2004 remake of the film Alfie take place?,New York City.
The charity “Crisis” supports who or what?,Homeless people in the UK.
Which South American city is served by Simon Bolivar (Maiguetia) airport?,Caracas.
Which chemical element is named after the Greek word for the Moon?,Selenium.
Which former leader of the Conservative Party was MP for Huntingdon?,John Major.
What is carnophobia the fear of?,Fear of meat.
Which song was a hit for both Guns ‘n’ Roses in 1988 and Sheryl Crow in 1999?,"Sweet Child O' Mine, no, actually, it's ""Knockin'""."
What was the parliamentary constituency of Tony Blair when he was leader of the Labour Party?,Sedgefield.
"In a Shakespeare play, Lancelot Gobbo is whose servant?",Shylock's.
What was the name of John Cabot’s ship which he sailed to North America in 1497?,The Matthew.
"Which bird is the symbol of the Durrell Wildlife Conservation Trust, which began its overseas work in Mauritius in 1970?","Pink pigeon, and Mauritius pink pigeon, or Mauritian pigeon."
Which Scot did Bob Crow succeed in 2001 as General Secretary of the RMT Union?,Jimmy Knapp
In which sport did the future King Olav V of Norway in 1928 and the future King Constantine II of Greece in 1960 win Olympic Gold Medals?,Sailing.
Which ball sport is played on a court 18 metres long by 9 metres wide?,Badminton.
